text,label
Je n'ai pas de nouvelles de ma demande de crédit.,status_request
je voudrais savoir si j'ai tout envoyé.,document_request
Pouvez-vous m'indiquer les documents à joindre ?,document_request
Pourquoi mon dossier n'avance pas ,status_request
statut de ma demande de prêt s'il vous plaît.,status_request
C'est quoi la liste des docs ?,document_request
Je veux parler à un responsable.,other
"bonjour, comment allez-vous ?",other
j'attends une réponse depuis longtemps.,status_request
quels sont les documents nécessaires pour un crédit ?,document_request
quels sont les docs nécessaires ?,document_request
j'attends une réponse depuis longtemps.,status_request
Dites-moi ce qu'il faut envoyer.,document_request
Réponse pour mon crédit ?,status_request
statut dossier cs-001,status_request
Je n'ai pas eu de retour sur ma demande.,status_request
j'aimerais savoir quels documents préparer pour ma demande.,document_request
Quel est le statut de ma demande de crédit ?,status_request
quels papiers pour un prêt ?,document_request
est-ce que mon dossier a été validé ,status_request
le statut de ma demande ?,status_request
merci beaucoup.,other
Statut dossier CS-001,status_request
quels justificatifs dois-je préparer pour mon dossier de crédit ?,document_request
suivi de prêt immo.,status_request
Quand aurai-je une réponse pour mon prêt ?,status_request
réponse pour mon crédit ,status_request
est-ce que c'est accepté ?,status_request
"Bonjour, des nouvelles de mon crédit ?",status_request
Suivre mon dossier de prêt,status_request
pouvez-vous m'aider avec mon application mobile ?,other
Quels sont les docs nécessaires ,document_request
Avancement du dossier de financement.,status_request
qu'est-ce qu'il faut comme papiers pour demander un crédit ?,document_request
Avancement du dossier de financement.,status_request
Est-ce que mon prêt est en cours ,status_request
j'ai un problème avec ma carte bleue.,other
Comment changer mon mot de passe ?,other
je voudrais prendre rendez-vous avec un conseiller.,other
documents recommandés pour un crédit immobilier ,document_request
réponse pour mon crédit ?,status_request
Je n'ai pas eu de retour sur ma demande.,status_request
J'attends une réponse depuis longtemps.,status_request
est-ce que mon dossier a été validé ?,status_request
Suivi de prêt immo.,status_request
Où se trouve votre agence ?,other
Je voudrais parler à quelqu'un.,other
Ma demande a-t-elle été examinée ,status_request
Quand aurai-je une réponse pour mon prêt ?,status_request
Je souhaite clôturer mon compte.,other
suivi de dossier de crédit,status_request
papiers nécessaires dossier bancaire.,document_request
Ma demande de crédit est-elle en cours de traitement ,status_request
statut de ma demande de prêt s'il vous plaît.,status_request
Merci pour votre aide.,other
documents recommandés pour un crédit immobilier ?,document_request
que faut-il fournir pour une demande de financement ?,document_request
C'est quoi la liste des docs ?,document_request
Je n'ai pas eu de retour sur ma demande.,status_request
documents recommandés pour un crédit immobilier ?,document_request
Quel est le statut de ma demande de crédit ?,status_request
Quels sont les éléments à fournir pour l'étude de mon dossier ?,document_request
Je n'ai pas eu de retour sur ma demande.,status_request
où en sommes-nous pour ma demande ?,status_request
Quels justificatifs dois-je préparer pour mon dossier de crédit ?,document_request
c'est quoi la liste des docs ?,document_request
Pouvez-vous m'aider avec mon application mobile ?,other
Ma demande de crédit est-elle en cours de traitement ?,status_request
j'attends une réponse depuis longtemps.,status_request
Merci beaucoup.,other
suivi de dossier de crédit,status_request
"bonjour, comment allez-vous ?",other
je voudrais prendre rendez-vous avec un conseiller.,other
suivre mon dossier de prêt,status_request
quels justificatifs dois-je préparer pour mon dossier de crédit ?,document_request
est-ce que mon dossier a été validé ?,status_request
pouvez-vous m'indiquer les documents à joindre ?,document_request
pièces justificatives pour un crédit à la consommation ?,document_request
Mon dossier est-il complet ,document_request
est-ce que mon prêt est en cours ?,status_request
Suivi de prêt immo.,status_request
Avancement du dossier de financement.,status_request
liste des pièces à fournir pour un prêt bancaire ?,document_request
réponse pour mon crédit ?,status_request
Réponse pour mon crédit ?,status_request
ma demande a-t-elle été examinée ?,status_request
avancement du dossier de financement.,status_request
des nouvelles de mon dossier ?,status_request
quels sont les justificatifs de revenus ,document_request
Quelle heure est-il ?,other
je voudrais prendre rendez-vous avec un conseiller.,other
Quand aurai-je une réponse pour mon prêt ?,status_request
Quels documents pour un rachat de crédit ?,document_request
Délai pour une réponse ?,status_request
Est-ce qu'il manque des documents ?,document_request
Liste des pièces à fournir pour un prêt bancaire ?,document_request
j'aimerais savoir quels documents préparer pour ma demande.,document_request
Papiers nécessaires dossier bancaire.,document_request
ma demande de crédit est-elle en cours de traitement ,status_request
où en est mon dossier de prêt ?,status_request
Pouvez-vous me dire si mon crédit est accepté ,status_request
J'ai un problème avec ma carte bleue.,other
